Actor,Appearances
Anupam Kher,60
Amitabh Bachchan,47
Shah Rukh Khan,46
Jim Cummings,44
Akshay Kumar,41
Danny Trejo,39
Paresh Rawal,39
Naseeruddin Shah,39
Nicolas Cage,36
Samuel L. Jackson,35
Om Puri,35
Prakash Raj,34
Takahiro Sakurai,33
Tara Strong,32
Fred Tatasciore,31
Boman Irani,31
Bruce Willis,30
Yuki Kaji,30
Anil Kapoor,30
Tony Hale,30
John Goodman,29
John Leguizamo,28
Jeff Bennett,28
Gulshan Grover,27
Willem Dafoe,26
Saif Ali Khan,26
Morgan Freeman,25
Keith David,25
Asrani,25
Ben Kingsley,25
Sean Astin,25
Johnny Depp,25
Kay Kay Menon,25
James Franco,24
Steve Buscemi,24
Sanjay Mishra,24
Ray Liotta,24
Roy Rogers,24
Alfred Molina,24
Ewan McGregor,24
Liev Schreiber,23
Jane Lynch,23
Sharat Saxena,23
Guy Pearce,23
Fred Armisen,22
Dennis Quaid,22
James Cromwell,22
Joan Cusack,22
Junichi Suwabe,22
John Travolta,22
Rajesh Sharma,22
Daisuke Ono,22
Paul Giamatti,21
Kari Wahlgren,21
Robert Patrick,21
Adam Sandler,21
Molly Shannon,20
Yuichi Nakamura,20
James Marsden,20
Patton Oswalt,20
William H. Macy,20
Rob Riggle,19
Jim Broadbent,19
Kulbhushan Kharbanda,19
Danny DeVito,19
Steve Carell,18
Maya Rudolph,18
Justin Long,18
Dermot Mulroney,17
Diedrich Bader,17
Tom Wilkinson,17
Tiffany Haddish,17
Cameron Diaz,16
Bradley Cooper,16
Joseph Gordon-Levitt,16
Jun Fukuyama,16
Viola Davis,16
Hiroshi Kamiya,16
Jonah Hill,16
Michael Gambon,16
Terrence Howard,16
Janeane Garofalo,16
Naomi Watts,16
Michael Cera,16
Benedict Cumberbatch,16
John Michael Higgins,15
Zach Galifianakis,15
Julia Roberts,15
Chris Parnell,15
Kevin Michael Richardson,15
Lake Bell,14
Jason Sudeikis,13
Katsuyuki Konishi,13
Elizabeth Banks,13
Rob Corddry,13
Nick Swardson,12
Bobby Cannavale,12
Ed Helms,12
Addison Holley,11
Jon Hamm,11
