id,Community,Degree,Appearances,Betweenness,Closeness,PageRank
Anupam Kher,0,17,60,1.0,0.8644,1.0
Danny Trejo,6,7,39,0.038,0.816,0.2668
Samuel L. Jackson,3,11,35,0.0949,0.8987,0.496
Fred Tatasciore,6,10,31,0.2544,0.9189,0.3703
Fred Armisen,5,9,22,0.0117,0.8193,0.4814
John Goodman,5,17,29,0.1167,0.8908,0.7233
Amitabh Bachchan,0,12,47,0.0912,0.6823,0.4928
Paresh Rawal,0,10,39,0.0211,0.6476,0.6756
Morgan Freeman,5,11,25,0.0384,0.843,0.5249
Liev Schreiber,3,12,23,0.0881,0.8644,0.5178
Naseeruddin Shah,0,10,39,0.029,0.6476,0.3886
Bruce Willis,3,11,30,0.0563,0.9148,0.4189
Jason Sudeikis,5,19,13,0.1262,0.9189,0.7029
Shah Rukh Khan,0,13,46,0.0151,0.6581,0.8574
Paul Giamatti,5,12,21,0.1824,0.9067,0.3819
Dennis Quaid,3,7,22,0.0,0.7727,0.2241
Takahiro Sakurai,1,7,33,0.0,0.488,0.664
Molly Shannon,5,17,20,0.0629,0.9231,0.7721
Yuichi Nakamura,1,8,20,0.0496,0.622,0.4798
Yuki Kaji,1,8,30,0.0496,0.622,0.69
James Franco,5,13,24,0.063,0.8908,0.4334
Akshay Kumar,0,11,41,0.0178,0.6497,0.6831
Jim Cummings,6,12,44,0.0937,0.8644,0.6531
Keith David,6,12,25,0.1476,0.9107,0.4712
Om Puri,0,13,35,0.1423,0.7083,0.5967
Nicolas Cage,3,8,36,0.0601,0.8293,0.3283
Jane Lynch,5,12,23,0.026,0.8361,0.389
Cameron Diaz,5,11,16,0.076,0.8127,0.5056
Anil Kapoor,0,13,30,0.0164,0.6581,0.6115
Willem Dafoe,3,8,26,0.206,0.8908,0.343
Bradley Cooper,5,21,16,0.6642,1.0,0.7111
John Michael Higgins,5,13,15,0.0329,0.8947,0.5332
Boman Irani,0,11,31,0.0174,0.6538,0.5317
Addison Holley,2,0,11,0.0,0.0,0.0
James Cromwell,5,6,22,0.0067,0.764,0.193
John Leguizamo,3,6,28,0.0186,0.7876,0.2768
Asrani,0,11,25,0.0241,0.6538,0.5427
Joseph Gordon-Levitt,3,5,16,0.0062,0.7234,0.1895
Zach Galifianakis,5,17,15,0.0802,0.9107,0.6551
Lake Bell,5,13,14,0.0404,0.8608,0.644
Steve Carell,5,14,18,0.0238,0.8608,0.6255
Katsuyuki Konishi,1,7,13,0.0,0.488,0.2109
Joan Cusack,3,6,22,0.021,0.7786,0.2212
Tony Hale,5,9,30,0.077,0.8226,0.3457
Steve Buscemi,6,12,24,0.0805,0.8608,0.6806
Jun Fukuyama,1,8,16,0.0496,0.622,0.4072
Prakash Raj,0,4,34,0.0003,0.6277,0.0898
Jon Hamm,5,16,11,0.038,0.8987,0.5729
Maya Rudolph,5,13,18,0.0528,0.8361,0.583
Kari Wahlgren,6,16,21,0.6861,0.843,0.6163
Sanjay Mishra,0,9,24,0.0078,0.6355,0.2964
Junichi Suwabe,1,7,22,0.0,0.488,0.4783
Justin Long,3,16,18,0.1211,0.887,0.6171
Viola Davis,5,4,16,0.0025,0.6986,0.1812
Julia Roberts,3,11,15,0.092,0.887,0.4193
Ray Liotta,5,10,24,0.0627,0.8908,0.3498
Ben Kingsley,3,5,25,0.0914,0.7612,0.2111
Hiroshi Kamiya,1,8,16,0.0496,0.622,0.2926
Sean Astin,6,11,25,0.093,0.8536,0.407
Dermot Mulroney,3,9,17,0.0484,0.8031,0.3433
Jonah Hill,5,12,16,0.0471,0.8908,0.5686
Johnny Depp,3,8,25,0.0676,0.8395,0.3115
Rob Riggle,5,12,19,0.0616,0.8465,0.5473
Michael Gambon,6,5,16,0.1664,0.7938,0.2156
Terrence Howard,3,13,16,0.0495,0.8644,0.4528
Chris Parnell,5,9,15,0.0305,0.7846,0.3018
Jim Broadbent,3,5,19,0.0267,0.7584,0.1942
John Travolta,6,11,22,0.1189,0.8571,0.3905
Roy Rogers,4,0,24,0.0,0.0,0.0
Robert Patrick,5,10,21,0.0497,0.8193,0.3481
Nick Swardson,6,10,12,0.0781,0.816,0.4767
Kulbhushan Kharbanda,0,8,19,0.005,0.5604,0.2786
Gulshan Grover,0,12,27,0.0238,0.6559,0.4221
Janeane Garofalo,5,11,16,0.0236,0.8395,0.4177
Tara Strong,6,5,32,0.0299,0.7786,0.1869
Alfred Molina,3,8,24,0.3042,0.8831,0.3159
Danny DeVito,6,7,19,0.0683,0.8193,0.2351
James Marsden,3,7,20,0.022,0.8,0.2688
Sharat Saxena,0,9,23,0.0033,0.5354,0.3756
Saif Ali Khan,0,10,26,0.0069,0.6518,0.3066
Adam Sandler,6,9,21,0.0294,0.7938,0.7045
Guy Pearce,6,4,23,0.0269,0.7556,0.1669
Patton Oswalt,5,12,20,0.0873,0.8987,0.3777
Diedrich Bader,6,8,17,0.0298,0.7907,0.3105
Rajesh Sharma,0,5,22,0.0162,0.6277,0.1399
Tom Wilkinson,3,8,17,0.0642,0.816,0.3062
Elizabeth Banks,3,20,13,0.1299,0.9577,0.7966
William H. Macy,3,7,20,0.0646,0.816,0.3951
Naomi Watts,3,16,16,0.0671,0.9027,0.5506
Kay Kay Menon,0,7,25,0.0018,0.5139,0.1833
Tiffany Haddish,5,6,17,0.0108,0.7556,0.1888
Michael Cera,5,16,16,0.0553,0.9148,0.6004
Bobby Cannavale,3,11,12,0.0381,0.8127,0.3831
Rob Corddry,5,11,13,0.018,0.7876,0.5527
Daisuke Ono,1,8,22,0.0496,0.622,0.7255
Benedict Cumberbatch,3,4,16,0.0085,0.7669,0.1488
Jeff Bennett,6,8,28,0.0113,0.7698,0.6062
Kevin Michael Richardson,6,10,15,0.0428,0.8226,0.4882
Ewan McGregor,3,8,24,0.0379,0.8031,0.3109
Ed Helms,5,13,12,0.0354,0.8361,0.4889
